,refs-en,refs-fa
22,"
""We believe that Europe has the complete wisdom and ability to solve the debt problem,"" Yang said in remarks published on the Foreign Ministry's website.",یانگ در اظهاراتش که در وب‌سایت وزارت خارجه منتشر شد گفت:«بر این باوریم که اروپا، هوش و توانایی کافی برای حل مشکل بدهی را دارد.»
23,"But there are limits to what Beijing can actually deliver, Cheng Siwei, a former top Chinese lawmaker, said on Saturday, even though China is willing to help Europe, its largest export market, to deal with the debt crisis.
",چنگ سیوی، قانونگذار ارشد سابق چین در روز شنبه گفت که البته محدودیت‌هایی در آن ‌چه پکن واقعاً می‌تواند ارائه دهد، وجود دارد، گرچه چین مایل است به اروپا که بزرگترین بازار صادراتی آن است در رسیدگی به بحران بدهی کمک کند. 
24,"
Leaders of the world's major economies, meeting on the French Riviera, told Europe to sort out its own problems and deferred until next year any move to provide more crisis-fighting resources to the International Monetary Fund.

",رهبران اقتصادهای بزرگ جهان در نشستی در ریویرای فرانسه به اروپا گفتند که مسائل خودش را حل کند و هر حرکتی را برای فراهم کردن منابع مالی بیشتر از صندوق بین‌المللی پول برای رفع بحران را به سال بعد موکول کند.
25,"Greek party leaders are struggling to agree on a new prime minister, despite EU demands that the political class commit itself fast to the nation's financial salvation and end the chaos threatening the entire euro project.

",با وجود تقاضای اتحادیه اروپا مبنی بر این‌که طبقه سیاسی خودش را به سرعت متعهد به نجات مالی کشور و پایان دادن به آشوب تهدید کننده کل پروژه یورو نمایند،  رهبران حزبی یونان در تقلا برای توافق بر روی نخست‌وزیر جدید هستند.
26,"Monday came and went without any accord on who will lead a new national unity coalition, despite plenty of talk that a former vice president of the European Central Bank, Lucas Papademos, would get the job.

",با وجود آن‌که گفتگوهای زیادی صورت گرفته بود که لوکاس پاپادموس، معاون رئیس پیشین بانک پست نخست وزیری را تحویل بگیرد، دوشنبه آمد و رفت بدون آن‌که هیچ توافقی در مورد این‌که چه کسی ائتلاف وحدت ملی جدید را رهبری خواهد کرد، صورت گرفته باشد..
27,"But after an early burst of compromise as the EU turned the screws on both sides, the drive by the socialist and conservative parties to create a government which will rule only until February appeared to be losing momentum.



",اما بعد از شکست اولیه مصالحه‌ها و هنگامی که اتحادیه اروپا فشار را بر دو طرف افزایش داد، حرکت احزاب سوسیالیست و محافظه‌کار برای ایجاد دولتی که تنها تا ماه فوریه حکومت نماید، ظاهراً قوت خود را از دست داده است.
28,"Frustration was apparent in Brussels where officials said the new government had to show it was serious about implementing promises Athens has made to its EU and IMF lenders in return for the 130 billion-euro bailout.
",نا امیدی در بروکسل مشهود بود، جایی که مقامات گفتند دولت جدید باید نشان دهد که درباره اجرای وعده‌های آتن به وام‌دهندگان اتحادیه اروپا و صندوق بین‌المللی پول در عوض کمک مالی 130 میلیارد یورویی جدی است. 
29,"""It is essential that the entire political class is now restoring the confidence that had been lost in the Greek commitment to the EU/IMF program,"" said EU Economic and Monetary Affairs Commissioner Olli Rehn.
",اولی رهن، مامور عالیرتبه امور اقتصادی و پولی اتحادیه اروپا می‌گوید:«ضروری است که کل طبقه سیاسی، اعتمادی که در تعهد یونان به برنامه اتحادیه اروپا/‌صندوق بین‌المللی پول از دست رفته را بازیابد.»
30,"Prime Minister George Papandreou provoked chaos last week by calling a referendum on the bailout, a vote which would probably have rejected the package due to its demands for austerity. ",جرج پاپاندرو، نخست وزیر یونان با درخواست رفراندوم در مورد کمک مالی در هفته گذشته، آشوب را تحریک کرد. رفراندومی که در صورت برگزار شدن به خاطر تقاضای بسته کمک مالی برای ریاضت اقتصادی، آن کمک را رد می‌نمود.
31,"Papandreou backed down, but was forced into agreeing to make way for the unity coalition.",پاپاندرو، عقب‌نشینی کرد اما مجبور شد تا برای ایجاد راهی برای ائتلاف وحدت، توافق کند.
32,"The stakes could not be higher. Greece faces bankruptcy in December when big debt repayments are due, unless it can get hold of more emergency funding soon.",بحران نمی‌توانست از این میزان بالاتر باشد. یونان در ماه دسامبر یعنی موعد بازپرداخت بدهی‌های بزرگ با ورشکستگی مواجه است مگر آن‌که بتواند به زودی کمک مالی اضطراری را دریافت کند.
33," For the euro zone, it is a question of credibility with international financial markets.
",این امر برای منطقه یورو، مسئله اعتبار داشتن در بازارهای مالی بین‌المللی است.
34,"
For two years it has labored to solve the problems of Greece, a very small part of the bloc's economy, leading to doubts about how it would manage if the debt crisis engulfed the far bigger Italian or Spanish economies.

",این منطقه برای مدت دوسال در تلاش بود تا مشکلات یونان را که بخش کوچکی از اقتصاد این بلوک است را حل کند و همین امر تردیدهایی را برانگیخت مبنی بر این‌که در صورت گرفتار شدن اقتصادهای بسیار بزرگتر ایتالیا یا اسپانیا در بحران بدهی، این منطقه چگونه می‌تواند ‌آن‌ها را مدیریت کند.
35,"What is now a regional crisis could hit the global economy if it goes unchecked, and the United States weighed in with a demand that Greece live up to its responsibilities.
",آن‌چه که اکنون بحرانی منطقه ای است ممکن است در صورت کنترل نشدن به اقتصاد جهان لطمه بزند و ایالات متحده با این‌ تقاضا که یونان، به مسئولیت‌هایش عمل کند، اهمیت اوضاع را نشان داد.
36," ""We urge the government to move as quickly as possible to fulfill the commitments,"" said White House press secretary Jay Carney.",جی کارنی سخنگوی مطبوعاتی کاخ سفید گفت:«دولت یونان را تشویق می‌کنم تا هرچه سریعتر به تعهداتش عمل کند.»
37,"Greek party officials were tight-lipped about why the naming of the new prime minister, which had been expected Monday, had not happened yet.
Papademos remained a frontrunner for prime minister.",مسئولان احزاب یونان در مورد علت انتخاب نخست‌وزیر جدید که انتظار می‌رفت دوشنبه اعلام شود، چیزی نگفتند. پاپادموس همچنان گزینه پیشتازبرای نخست وزیری است.
38," An aide said the Greek economist, who left the ECB last year, had arrived in Athens Monday from the United States where he is a Harvard academic.
",یک دستیار گفت که این اقتصاددان یونانی (پاپادموس) که سال گذشته ECB را ترک کرد، روز دوشنبه از ایالات متحده به آتن رسیده است. او عضو هیات علمی دانشگاه هاروارد در ایالات متحده است.
39,"Papandreou has been in touch with Papademos, a senior government official told reporters.
",یک مقام ارشد دولتی به خبرنگاران گفت که پاپاندرو با پاپادموس در تماس بوده است.
40,"
Papademos oversaw the nation's adoption of the euro in 2002 as Bank of Greece governor before moving to the ECB, and is a well-known figure in European capitals.
",پاپادموس به عنوان رئیس بانک یونان و قبل از عزیمت به ECB، شاهد ورود این کشور به یورو در سال 2002 بود و چهره‌ای شناخته شده در پایتخت‌های اروپایی است.
41,"Prime Minister Silvio Berlusconi defied huge pressure to resign on Monday, desperately playing his last cards to save his crumbling government as fears over Italy's instability hit markets across Europe.

",نخست وزیر سیلویو برلوسکنی، به شدت در برابر فشار عظیمی که برای استعفای او در روز دوشنبه صورت گرفت، مقاومت کرد و با ناامیدی آخرین کارتهای خود را بازی کرد تا دولت در حال خرد شدن خود را نجات دهد. این در حالی است که ترس‌های وجود دارد از این‌که بی‌ثباتی ایتالیا، به بازارهای مالی در سراسر اروپا ضربه بزند. 
42,"Berlusconi denied reports by journalists close to him that he would resign within hours, immediately reversing a brief recovery in stock and government bond markets battered by political uncertainty in the euro zone's third economy.

",برلوسکنی، گزارشهای روزنامه‌نگاران نزدیک به خود  مبنی بر این‌که ظرف چند ساعت استعفا خواهد کرد را تکذیب کرد و فوراً بهبود مختصر در بازار سهام و بازارهای اوراق بهادار دولتی که از بلاتکلیفی سیاسی در سومین اقتصاد منطقه یورو لطمه خورده‌اند را برگرداند.
43,"Yields on Italy's 10-year bonds hit 6.67 percent, their highest level since 1997, at one point on Monday, close to the 7 percent level seen as unsustainable for Italy's huge debt, one of the world's highest.
",در یک لحظه در روز دوشنبه، بهره‌های اوراق قرضه 10 ساله به 67/6 درصد رسید که بیشترین سطح آن از سال 1997 است و به سطح 7 درصدی نزدیک شده است که برای بدهی بزرگ ایتالیا که یکی از بزرگترین بدهی‌های جهان است، غیرقابل تحمل است.
44," European stocks were also hit by the turmoil.
",سهام‌های اروپایی نیز از آشوب آسیب دیده‌اند.
45,"The movements indicated how much markets saw Berlusconi's departure as the only way to reduce the pressure on Italian bonds which has fueled a revolt in his party, although there is deep uncertainty about what would follow if he stepped down.

",این حرکت‌ها نشان داد که بازارها به میزان زیادی خروج برلوسکنی از قدرت را به عنوان تنها راه کاهش فشار بر اوراق قرضه ایتالیایی است که این امر سبب اعتراض در حزبش شده است. البته در مورد آنچه بعد از کناره‌گیری او پیش خواهد آمد، عدم قطعیت‌های زیادی وجود دارد.
46,"Government bond prices would recover and the yield spreads would narrow by a full percentage point if the government should fall, according to a Reuters survey of 10 fund managers last week.
",بر اساس بررسی رویتر از 10 مدیر صندوق در هفته گذشته، اگر دولت سقوط کند، قیمت‌های اوراق قرضه دولتی بهبود یافته و بهره به میزان چند درصد بیشتر خواهد شد..
47,"
Political sources said a late Sunday meeting of leaders of Berlusconi's PDL party had urged him to resign because of a major party revolt but he was still not convinced. ",منابع سیاسی گفتند که جلسه رهبران حزب PDL برلوسکنی در اواخر روز یکشنبه به علت نارضایتی بخش بزرگی از حزب، او را تشویق به استعفا کرده بود اما او هنوز متقاعد نشده است.
48,"However a confidence motion is likely this week in parliament.

",البته، احتمال دارد این هفته حرکتی برای اخذ رای اعتماد در پارلمان صورت گیرد.
49,"Government minister Gianfranco Rotondi said on Monday he was optimistic the parliamentary majority would hold. 

",گیانفرانکو روتوندی وزیر دولت روز دوشنبه گفت که درباره حفظ اکثریت پارلمانی، خوش‌بین است.
50,"Otherwise Italy would have to go to the polls, he said after meeting Berlusconi.
",او بعد از دیدار با برلوسکنی گفت که در غیر اینصورت باید انتخابات در ایتالیا برگزار شود.
51,"The prospect of early elections, opposed by many PDL deputies including rebels, is one of the last cards left to Berlusconi. ",امید به انتخابات زودهنگام که بسیاری از نمایندگان منجمله معترضین با آن مخالفند، یکی از آخرین کارت‌هایی است که برای برلوسکنی باقی‌ مانده است.
52,"He said those who brought down the government at a time of national peril would be traitors who would make economic reforms more difficult.
",او گفت که آن‌هایی که دولت را در زمان مخاطره ملی ساقط کند، خائنانی خواهد بود که اصلاحات اقتصادی را دشوارتر می‌سازند.
53,"
The 75-year-old media magnate and his closest aides spent the weekend trying to win back the support of enough deputies to avoid humiliating defeat on Tuesday in a crunch vote to confirm a state financing bill which he has already lost once.
",این متشخص رسانه‌ای 75 ساله و نزدیکترین دستیارانش، آخر هفته را به تلاش برای کسب حمایت تعداد کافی از نمایندگان برای اجتناب از شکست خوار کننده در روز سه شنبه در رای دشوار به تایید لایحه مالی دولت گذراندند. این لایحه، پیشتر از آن شکست خورده بود. 
54,"
Chances of defeat in this vote seem to be receding although if he did lose it, Berlusconi could either resign immediately or be ordered by President Giorgio Napolitano to call a confidence vote.
",شانس شکست در این رای، ظاهراً در حال کاهش است. البته اگر برلوسکنی آن را از دست بدهد ممکن است فوراً استعفا کند یا این‌که رئیس‌جمهور گیورگیو ناپولیتانو فوراً به او دستور جلب رای اعتماد بدهد.
55,"
The center-left opposition may abstain in the Tuesday vote to expose Berlusconi's lack of support without torpedoing an essential measure.",اپوزیسیون چپ-میانه ممکن است برای مواجه کردن برلوسکنی با فقدان پشتیبانی و بدون انجام اقدامی اساسی، در رای گیری روز سه شنبه شرکت نکنند.
56,"Despite Berlusconi's unflinching defiance, many of those around him believe his days are numbered and that he has no chance of implementing unpopular austerity measures with an extremely fragile majority.

",با وجود مقاومت سرسختانه  برلوسکنی، بسیاری از اطرافیانش بر این باورند که دوران حکومت او به شماره افتاده است و او با اکثریت بسیار شکننده، هیچ شانسی برای اجرای تدابیر ریاضتی نامحبوب ندارد.
57," La Stampa daily on Monday described the death throes of his government as a ""prolonged agony.""",روزنامه لا استامپا در روز دوشنبه، دردهای سقوط دولتش را «رنجی طولانی» نامید.
58,"However, even if he goes, the prospects for a way out of Italy's crisis remain obscure.",البته، حتی اگر او برود، چشم‌انداز خروج ایتالیا از بحران، همچنان مبهم است.
59," Berlusconi and the Northern League insist the only alternative to him is an election early next year -- which would likely push back reforms even further.

",برلوسکنی و لیگ شمالی اصرار دارند که تنها راه چاره برای او، انتخابات زودهنگام در سال آینده است که احتمالاً اصلاحات را حتی بیشتر به عقب خواهد برد.
60,"
The idea of a national unity or technocrat government, favored by markets, the opposition and probably the head of state, is opposed by Berlusconi and League leaders whose parliamentary support may well be necessary for it to function.
",ایده دولت وحدت ملی یا دولت تکنوکرات که مطلوب بازارها، اپوزیسیون و احتمالاً رئیس کشور است، مورد مخالفت برلوسکنی و رهبران لیگ قرار گرفته که پشتیبانی پارلمانی ‌آن‌ها ممکن است برای کار آن ضرورت داشته باشد.
61,"Newspapers have estimated the number of potential party defectors at between 20 and 40, which would be more than enough to topple the government.",روزنامه‌ها، تعداد جداشدگان بالقوه حزبی را بین 20 تا 40 نفر برآورد می‌کنند که بیش از میزان کافی برای سرنگون کردن این دولت است.
62,"
Berlusconi has been meeting and telephoning rebels since he returned from a humiliating G20 summit in France on Friday in which he had to agree to IMF monitoring of Italy's progress in reforms he has long promised but so far not implemented.
",برلوسکنی از زمان بازگشت از جلسه خوار کننده G20 در فرانسه در روز جمعه با معترضین حزبی تماس گرفته و با آن‌ها جلسه برگزار کرده است. او در فرانسه مجبور شده بود تا با نظارت IMF بر پیشرفت ایتالیا در اصلاحاتی موافقت کندکه مدتها پیش قول آن را داده اما تاکنون اجرا نشده بود.
63,"The number of poor Americans hit a record 49 million in 2010, or 16 percent, according to new data released on Monday that showed poverty rates for the elderly, Asians and Hispanics higher than previously known.

",مطابق با داده‌های جدیدی که روز دوشنبه منتشر شد، تعداد آمریکایی‌های فقیر به رسیدن به رقم 49 میلیون در سال 2010 یا 16 درصد، رکورد زده است. این داده‌ها نشان می‌دهند که نرخ‌های فقر برای افراد مسن، آسیایی‌ها و اسپانیولی‌ها بیش از آن مقداری است که قبلاً معلوم شده بود.
64,"The figures were calculated by the Census Bureau under a broad new measure intended to supplement the official standard with a fuller picture of poverty in the United States.
",این ارقام توسط دفتر سرشماری و در اقدام جدید گسترده‌ای محاسبه گردید که قصد آن، تکمیل معیار رسمی با تصویر کاملتری از فقر در ایالات متحده بود.
65," Results contrast with official poverty data, released in September, that put the number of poor Americans at 46.2 million.",این نتایج با داده‌های رسمی فقر که در ماه سپتامبر منتشر شد، اختلاف دارند. داده‌های رسمی، شمار آمریکایی‌های فقر را 2/46 میلیون نفر تعیین کرده بودند.
66,"The biggest rise occurred among people aged 65 and older who are being driven into poverty by out-of-pocket medical expenses, including premiums and co-pays from the federal government's Medicare program for the elderly.
",بیشترین میزان افزایش میان افرادی با سن 65 سال و بیشتر رخ داده بود که با هزینه‌های درمانی خارج از تکافوی بیمه‌ها یا پرداخت‌های دولت‌های برنامه مراقبت درمانی فدرال به فقر کشیده شده بودند.
67,"The poverty rate for the elderly jumped to 15.9 percent, or a roughly 1 in 6 senior citizens, versus 9 percent under the official count.
",نر خ فقر برای افراد مسن به 9/15 درصد یا تقریباً یک نفر از 6 شهروند مسن رسید. در مقابل، آمار رسمی، این نرخ فقر را 9 درصد اعلام می‌کند.
68,"
The findings highlight the challenges facing Republicans and Democrats on a special congressional ""super committee"" charged with cutting at least $1.2 trillion from the federal budget over the next 10 years.

",این یافته‌ها، چالش‌های فراروی جمهوریخواهان و دموکرات‌ها را در «کمیته عالی» ویژه کنگره پررنگتر می‌کند. این کمیته مسئول کاهش حداقل 2/1 میلیارد دلار از بودجه فدرال در بیش از 10 سال آینده است.
69,"Both sides have proposed hundreds of billions of dollars in cuts to Medicare, which threatens to explode the U.S. debt burden, despite intensive lobbying against reductions by groups that represents beneficiaries and healthcare providers.
",با وجود فشار شدید علیه کاهش بودجه مراقبت درمانی توسط گروههای نماینده ذیفعان و فراهم‌کنندگان مراقبت درمانی، هر دو طرف (جمهوریخواهان و دموکرات‌ها)، صدها میلیارد دلار کاهش این بودجه را تهدیدی برای انفجار بار بدهی ایالات متحده است را پیشنهاد داده‌اند.
70,"
""People will say this shows how crucial it is not to cut a penny out of Medicare spending. ",«مردم خواهند گفت که این آمار نشان می‌دهد که چقدر حیاتی است که یک پنی از هزینه مراقبت درمانی کم نشود.
71,"And that's unfortunate, because it's an argument against solving the deficit,"" said Ron Haskins of the Brookings Institution.

",ران هاسکینز از انستیتوی بروکینگز می‌گوید: «و متاسفانه، این استدلالی است که در مقابل حل کسری بودجه قرار دارد.»
72,"
Like the government's Social Security pension system for the elderly, Medicare is also expected to be a hot-button issue in 2012 election politics for both parties as they vie for control of the White House and Congress.
",همچنین انتظار می‌رود که مراقبت درمانی مانند سیستم مستمری امنیت اجتماعی دولت برای سالمندان، مسئله‌ای داغ برای سیاست‌های انتخابات 2012 برای هر دو حزب باشد که هر دو برای کنترل کاخ سفید و کنگره رقابت می‌کنند.
73,"Unlike the Census Bureau's official poverty measure, which focuses on the food budgets and cash wages of the poor, the new calculation includes government benefits such as food stamps as well as household expenses like taxes, medical costs, housing and regional differences in the cost of living, the Census Bureau said in a report.
",دفتر سرشماری در گزارشی عنوان می‌کند که بر خلاف راه‌حل رسمی فقر دفتر سرشماری که بر بودجه‌های غذایی و دستمزدهای نقدی برای فقرا تمرکز می‌کند، محاسبه جدید شامل مزایای دولتی مانند برچسب‌های غذایی و نیز هزینه های خانوار مانند مالیات‌ها، هزینه‌های درمانی، تفاوت‌های مسکن و منطقه‌ای در هزینه زندگی است.
74,"
It will now supplement official poverty estimates, which have been used to determine eligibility for programs that help the poor since the mid-1960s.
",این گزارش، اکنون برآوردهای رسمی فقر که برای تعیین صلاحیت برای برنامه‌های کمک به فقرا از میانه دهه 1960استفاده می‌شد را اصلاخ خواهد کرد.
75,"
The broader formula generates an overall U.S. poverty rate of 16 percent, versus an official 15.1 percent, with an annual poverty income threshold of $24,343 for a family of four, compared with $22,113 under the official measure.
","فرمول گسترده‌تر، نرخ کلی فقر 16 درصد را در مقابل نرخ رسمی 1/15 به دست می‌دهد که شامل آستانه درآمد فقر سالیانه 343,24 دلار برای خانواده چهار نفره در مقایسه با مقدار رسمی 113,22 دلار است."
76,"
""This shows that the social safety net is helping but not doing as much as we'd like to see,"" said Dave Cooper of the Economic Policy Institute.
",دیو کوپر از انستیتو سیاست اقتصادی می‌گوید:«این امر نشان می‌دهد که شبکه ایمنی اجتماعی، مفید است اما نه آنقدر که می‌خواهیم شاهد آن باشیم.»
77," ""The programs we have right now are, if anything, inadequate.""",«برنامه‌هایی که هم اکنون داریم، البته اگر برنامه‌های موجود باشند، ناکافی هستند.»
78,"
The new formula also showed poverty rates increasing for whites, Asians and working-age adults but falling for blacks and children.
",علاوه بر این، فرمول جدید نشان می‌دهد که نرخ فقر برای سفید‌پوستان، آسیایی ها و بزرگسالان در سن کار در حال افزایش ولی برای سیاهان و کودکان در حال کاهش است.
79,"
For the first time, the poverty rate for Hispanics eclipsed the rate among blacks, by 28.2 percent to 25.4 percent, partly as a result of less participation in social programs, like housing subsidies, among immigrant groups.
",برای اولین بار، نرخ فقر برای اسپانیولی‌ها با میزان 2/28 درصد، نرخ فقر جامعه سیاهان با نرخ 4/25 درصد، تحت الشعاع قرار داد و این امر تا حدی به خاطر مشارکت کمتر ‌گروههای مهاجر در برنامه‌های اجتماعی مانند یارانه‌های مسکن است.
80,"
As an indication of the benefits of government assistance, Census officials said the poverty rate would have risen to 18 percent if not for earned income tax credit for people with low to moderate incomes.

",مقامات سرشماری به عنوان نشانه‌ای از مزایای کمک دولتی می‌گویند که اگر اعتبار مالیات بر درآمد کسب شده برای افرادی با درآمدهای کم تا متوسط نباشد، نرخ فقر به 18 درصد افزایش خواهد یافت.
81,"
The broader measure was developed in cooperation with the U.S. Bureau of Labor Statistics and the National Academy of Sciences, Census officials said.
",مقامات سرشماری می‌گویند که راه‌حل گسترده‌تری با همکاری دفتر آماره‌های کار ایالات متحده و آکادمی ملی علوم، ارائه شده است.
82,"Barnes & Noble will charge $249 for the Nook tablet, which has 16 gigabytes of storage compared with the 8 gigabytes of storage offered by Amazon's recently introduced Kindle Fire tablet. ",بارنز اند نوبل، تبلت نوک  که در برابر تبلت کیندل فایر 8 گیگابایتی ارائه شده توسط آمازون، 16 گیگابایت ظرفیت دارد، 249 دلار قیمت‌گذاری کرده‌اند.
83,"The new Nook will is set to hit the shelves late next week, setting up a holiday season battle between the Nook and Fire, which also ships next week.",نوک جدید در آخر هفته‌ آینده، بازار را در خواهد نوردید که این امر نبرد فصل تعطیلات بین نوک و فایر که آن هم هفته آینده به بازار می‌آید را آغاز خواهد کرد.
84,"Barnes & Noble also lowered the price on other Nook devices to keep pace with Amazon's aggressive pricing.
",بارنز و نوبل نیز برای همپایی با قیمت‌گذاری تهاجمی آمازون، قیمت سایر وسایل نوک را پایین آوردند.
85,"
Barnes & Noble, which operates about 700 U.S. bookstores, does not have the deep pockets Amazon has, but its devices have found a niche among book buyers interested in e-readers and tablets rather than pure tech aficionados.

",بارنز و نوبل که حدود 700 فروشگاه را در ایالات متحده، اداره می‌کنند، مانند آمازون پول ندارند اما وسایل آن به جای آن‌که میان طرفداران فناوری بالا محبوبیت یابد، بازار ویژه‌ای را میان خریداران کتاب یافته است که علاقمند خواننده‌های الکترونیکی و تبلت ها هستند.
86,"The strategy has paid off, winning the chain about 25 percent of the e-reader and digital books market -- though it is still a distant second behind Amazon -- and helping it contain the damage from the long-time decline in book sales at its stores.
",این راهبرد جواب داده است و زنجیره‌ای از حدود 25 درصد بازار کتابهای دیجیتال و خواننده الکترونیکی را از آن خود کرده است-البته همچنان با فاصله زیادی از آمازون در رتبه دوم قرار دارد-و این امر آن را از نزول درازمدت در فروش‌ کتاب در فروشگاههای آمازون، حفظ کرده است.
87,"
Despite entering the e-reader market two years after Amazon did, Barnes & Noble has held its own.",بارنز اند نوبل با وجود این‌که دو سال بعد از آمازون وارد بازار خواننده الکترونیکی شده‌است اما سهم خود را نگهداشته است.
